지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2021-01-01 01:00,-8.7,,,,2.4,,270,,68,,2.2,-13.5,1016.4,,1027.7,,,9,,9,,,0,0,,,2000,,,-6.9,,-1,-.8,.3,1.6
108,서울,2021-01-01 02:00,-9.1,,,,1.6,,270,,69,,2.1,-13.7,1016.2,,1027.5,,,9,,9,,,0,0,,,2000,,,-7.1,,-1.1,-.8,.3,1.6
108,서울,2021-01-01 03:00,-9.3,,,,1.1,,250,,70,,2.1,-13.7,1016.8,,1028.1,,,9,,9,,,0,0,,,2000,,,-7.3,,-1.2,-.9,.3,1.6
108,서울,2021-01-01 04:00,-9.3,,,,.3,,0,,71,,2.2,-13.5,1016.2,,1027.5,,,9,,9,,,0,0,,,2000,,,-7.5,,-1.3,-1,.2,1.5
108,서울,2021-01-01 05:00,-9.7,,,,1.9,,20,,72,,2.1,-13.8,1015.6,,1026.9,,,9,,9,,,0,0,,,2000,,,-7.6,,-1.3,-1,.2,1.5
108,서울,2021-01-01 06:00,-9.7,,,,2,,50,,75,,2.2,-13.3,1015.4,,1026.7,,,9,,9,,,7,7,Sc,12,2000,,,-7.4,,-1.4,-1.1,.2,1.5
108,서울,2021-01-01 07:00,-9.3,,,,1.6,,50,,71,,2.2,-13.5,1015.6,,1026.9,,,9,,9,,,6,6,Sc,16,2000,,,-6.8,,-1.4,-1.1,.2,1.5
108,서울,2021-01-01 08:00,-9.3,,,,1.6,,50,,72,,2.2,-13.4,1015.8,,1027.1,,0,,0,,,,1,1,Sc,18,2000,,,-7.3,,-1.4,-1.1,.1,1.5
108,서울,2021-01-01 09:00,-8.6,,,,2.5,,20,,74,,2.4,-12.4,1016.1,,1027.4,,.6,,.27,,,,1,1,Sc,18,2000,,,-6.2,,-1.4,-1.2,.1,1.4
108,서울,2021-01-01 10:00,-6.1,,,,1.1,,50,,68,,2.6,-11,1016.4,,1027.6,,1,,.76,,,,1,1,Sc,10,2000,,,-3.4,,-1.2,-1.1,.1,1.4
108,서울,2021-01-01 11:00,-3.2,,,,1.7,,70,,55,,2.7,-10.9,1015.5,,1026.5,,1,,1.4,,,,0,0,,,2000,,,-.5,,-.8,-1,.1,1.4
108,서울,2021-01-01 12:00,-1.1,,,,2.1,,200,,52,,2.9,-9.7,1014.8,,1025.7,,.9,,1.74,,,,8,8,Sc,9,2000,,,1.5,,-.5,-.8,.1,1.4
108,서울,2021-01-01 13:00,-.2,,,,3,,250,,56,,3.4,-7.9,1014,,1024.9,,.7,,1.61,,,,5,5,Sc,9,2000,,,3.3,,-.2,-.7,.1,1.4
108,서울,2021-01-01 14:00,1.4,,,,1.6,,200,,53,,3.6,-7.1,1013.2,,1024,,.8,,1.61,,,,1,1,Sc,10,2000,,,4.3,,0,-.6,0,1.3
108,서울,2021-01-01 15:00,1.2,,,,2.6,,270,,52,,3.5,-7.5,1013.3,,1024.1,,1,,1.43,,,,4,1,ScAcCi,11,2000,,,1.4,,.1,-.5,0,1.3
108,서울,2021-01-01 16:00,-.2,,,,3.8,,270,,58,,3.5,-7.4,1013.6,,1024.5,,.1,,.42,,,,3,3,Sc,18,2000,,,-.2,,.1,-.5,.1,1.3
108,서울,2021-01-01 17:00,-.7,,,,1.8,,250,,61,,3.5,-7.3,1013.6,,1024.5,,.4,,.28,,,,3,3,Sc,17,2000,,,-.4,,.2,-.4,.1,1.3
108,서울,2021-01-01 18:00,-1.4,,,,2.1,,250,,68,,3.8,-6.5,1013.6,,1024.5,,0,,.02,,,,3,3,Sc,15,2000,,,-.9,,.1,-.4,.1,1.3
108,서울,2021-01-01 19:00,-1.5,,,,2.4,,250,,70,,3.8,-6.2,1013.6,,1024.5,,,9,,9,,,1,1,,17,2000,,,-1.2,,.1,-.4,.1,1.3
108,서울,2021-01-01 20:00,-1.6,,,,2.5,,270,,73,,4,-5.8,1013.8,,1024.7,,,9,,9,,,8,7,,15,2000,,,-1.5,,.1,-.4,.1,1.3
108,서울,2021-01-01 21:00,-1.6,,,,2.3,,270,,66,,3.6,-7.1,1014.3,,1025.2,,,9,,9,,,8,8,Sc,15,2000,,,-1.4,,.1,-.4,.1,1.3
108,서울,2021-01-01 22:00,-1.8,,,,2.5,,270,,63,,3.4,-7.9,1014.7,,1025.7,,,9,,9,,,8,8,,15,2000,,,-1.8,,.1,-.4,.1,1.3
108,서울,2021-01-01 23:00,-2.6,,,,1.9,,250,,55,,2.8,-10.4,1014.9,,1025.9,,,9,,9,,,0,0,,,2000,,,-2.8,,0,-.4,.1,1.3
108,서울,2021-01-02 00:00,-3.4,,,,2.5,,320,,55,,2.6,-11.1,1015,,1026,,,9,,9,,,0,0,,,2000,,,-3.8,,-.1,-.5,.1,1.3
108,서울,2021-01-02 01:00,-4.1,,,,2.3,,320,,39,,1.8,-16,1015.1,,1026.2,,,9,,9,,,0,0,,,2000,,,-4.7,,-.2,-.5,.1,1.3
108,서울,2021-01-02 02:00,-5,,,,2.7,,270,,42,,1.8,-15.9,1015.5,,1026.6,,,9,,9,,,0,0,,,2000,,,-5.3,,-.4,-.6,.1,1.3
108,서울,2021-01-02 03:00,-5.8,,,,1.9,,270,,45,,1.8,-15.8,1015.8,,1026.9,,,9,,9,,,0,0,,,2000,,,-5.9,,-.5,-.7,.1,1.3
108,서울,2021-01-02 04:00,-6.3,,,,1.7,,290,,45,,1.7,-16.3,1015.8,,1027,,,9,,9,,,0,0,,,2000,,,-6.4,,-.7,-.8,0,1.3
108,서울,2021-01-02 05:00,-6.6,,,,1.1,,320,,40,,1.5,-17.9,1016,,1027.2,,,9,,9,,,0,0,,,2000,,,-6.9,,-.9,-.9,0,1.3
108,서울,2021-01-02 06:00,-6.6,,,,2.7,,320,,35,,1.3,-19.5,1016.2,,1027.4,,,9,,9,,,0,0,,,2000,,,-7.2,,-1,-1,0,1.3
108,서울,2021-01-02 07:00,-7.4,,,,1.5,,290,,38,,1.3,-19.3,1016.6,,1027.8,,,9,,9,,,0,0,,,2000,,,-7.5,,-1.1,-1.1,0,1.3
108,서울,2021-01-02 08:00,-8.3,,,,1.3,,270,,41,,1.3,-19.2,1017.1,,1028.4,,0,,0,,,,0,0,,,2000,,,-7.8,,-1.3,-1.2,0,1.2
108,서울,2021-01-02 09:00,-7.6,,,,2,,270,,39,,1.4,-19.1,1017.9,,1029.1,,.9,,.3,,,,0,0,,,2000,,,-6.7,,-1.4,-1.2,0,1.2
108,서울,2021-01-02 10:00,-6,,,,2.3,,320,,35,,1.4,-19,1018.6,,1029.8,,1,,.88,,,,0,0,,,2000,,,-3.9,,-1.2,-1.2,-.1,1.2
108,서울,2021-01-02 11:00,-5.3,,,,3.2,,290,,32,,1.3,-19.4,1019,,1030.1,,1,,1.46,,,,0,0,,,2000,,,-.7,,-.9,-1.1,-.1,1.2
108,서울,2021-01-02 12:00,-3.2,,,,3,,270,,33,,1.6,-17.2,1018.7,,1029.8,,1,,1.81,,,,0,0,,,2000,,,1.2,,-.7,-1,-.1,1.2
